Hungary: Fruzsina; Poland: Mieczysław, Mieszko
Czech Republic: Evženie; Hungary: Csilla, Noémi; Poland: Kajus, Kaja Łukasz, Teodor
Czech Republic: Vojtěch; Hungary: Béla; Poland: Gerard, Helena, Jerzy, Wojciech
Czech Republic: Jiří; Hungary: György; Poland: Aleksander, Erwin, Grzegorz
Czech Republic: Marek; Hungary: Márk; Poland: Jarosław, Marek
Czech Republic: Oto; Hungary: Ervin; Poland: Maria, Marzena, Spycimir
Czech Republic: Jaroslav; Hungary: Zita; Poland: Andrzej, Bożebor, Martyn, Piotr, Zyta
Czech Republic: Vlastislav; Hungary: Valéria; Poland: Maria, Paweł
Czech Republic: Robert; Hungary: Péter; Poland: Angelina, Augustyn, Bogusław, Piotr, Robert
Czech Republic: Blahoslav; Hungary: Katalin, Kitti; Poland: Bartłomiej, Jakub, Katarzyna, Marian
Hungary: Fülöp, Jakab; Poland: Aniela, Filip, Jakub, Józef, Lubomir, Maja
Czech Republic: Zikmund; Hungary: Zsigmond; Poland: Walter, Witomir, Zygmunt, Wouter
Czech Republic: Alexej; Hungary: Tímea, Irma; Poland: Aleksander, Antonina, Maria, Mariola Świętosława
Czech Republic: Květoslav; Hungary: Mónika, Flórián; Poland: Grzegorz, Michał Monika
Czech Republic: Klaudie; Hungary: Györgyi; Poland: Irena, Teodor, Waldemar
Czech Republic: Radoslav; Hungary: Ivett, Frida; Poland: Gościwit, Jan, Judyta
Czech Republic: Stanislav; Hungary: Gizella; Poland: Benedykt, Bogumir, Ludmiła, Ludomiła
Hungary: Mihály; Poland: Marek, Michał Piotr, Stanisław
Czech Republic: Ctibor; Hungary: Gergely; Poland: Bożydar, Grzegorz, Karolina, Mikołaj
Czech Republic: Blažena; Hungary: Ármin, Pálma; Poland: Częstomir, Jan
Czech Republic: Svatava; Hungary: Ferenc; Poland: Filip, Franciszek, Iga, Ignacy, Lew, Lutogniew, Mira Żegota
Czech Republic: Pankrác; Hungary: Pongrác; Poland: Dominik, Jan, Joanna, Wszemił Pankracy
Czech Republic: Servác; Hungary: Szervác, Imola; Poland: Andrzej, Ciechosław, Gloria, Magdalena, Piotr, Robert
Czech Republic: Bonifác; Hungary: Bonifác; Poland: Dobiesław, Wiktor, Maciej
Czech Republic: Žofie; Hungary: Zsófia, Szonja; Poland: Jan, Zofia
Czech Republic: Přemysl; Hungary: Mózes, Botond; Poland: Andrzej, Jędrzej, Szymon, Wieńczysław
Czech Republic: Aneta; Hungary: Paszkál; Poland: Bruno, Sławomir, Weronika, Wiktor
Czech Republic: Nataša; Hungary: Erik, Alexandra; Poland: Aleksander, Aleksandra, Alicja, Edwin, Eryk, Eryka, Feliks, Irena, Myślibor
Czech Republic: Ivo; Hungary: Ivó, Milán; Poland: Augustyn, Celestyn, Mikołaj, Pękosław, Piotr, Timur
