Mieczysław, Mieszko | Mieczysława, Mieszka
Emilian, Filipina, Franciszek, Joanna, Kazimiera, Męcimir | Emiliana, Filipiny, Franciszka, Joanny, Kazimiery, Męcimira
Cezary, Dalegor, Maria, Namysław, Tymoteusz, Zygfryd | Cezarego, Dalegora, Marii, Namysława, Tymoteusza, Zygfryda
Filip, Laurenty | Filipa, Laurentego
Bartłomiej, Cieszymir, Jerzy, Joanna, Malina, Michalina | Bartłomieja, Cieszymira, Jerzego, Joanny, Maliny, Michaliny
Grzegorz, Luiza, Michał Sieciesław | Grzegorza, Luizy, Michała, Sieciesława
Dobroniega, Joanna, Konstanty, Maksym, Maria | Dobroniegi, Joanny, Konstantego, Maksyma, Marii
Cezary, Józef, Monika, Małgorzata, Teodor | Cezarego, Józefa, Moniki, Małgorzaty, Teodora
Adelina, Aleksander, Aleksy, Augustyn, Patrycja, Sobiesław, Stronisław | Adeliny, Aleksandra, Aleksego, Augustyna, Patrycji, Sobiesława, Stronisława
Gita, Jan, Racibor, Sabina | Gity, Jana, Racibora, Sabiny
Częstowoj, Miron, Rebeka, Róża, Szczęsna, Szczęsny | Częstowoja, Mirona, Rebeki, Róży, Szczęsnego
Bohdan, Paulina, Rajmund Świętosław | Bohdana, Pauliny, Rajmunda Świętosława
Bronisław, Bronisława, Bronisz | Bronisławy, Bronisza
Bohdan, Czesław, Eliza, Henryk, Julian, Stefan, Tobiasz, Witomysł | Bohdana, Czesława, Elizy, Henryka, Juliana, Stefana, Tobiasza, Witomysła
Antoni, Bartłomiej, Bronisław, Bronisz, Izabela, Jan, Joachim, Mojmir, Szymon, Wincenty, Zenon | Antoniego, Bartłomieja, Bronisława, Bronisza, Izabeli, Jana, Joachima, Mojmira, Szymona, Wincentego, Zenona
Ida, Lilianna, Rościgniew, Róża, Rozalia | Idy, Lilianny, Rościgniewa, Róży, Rozalii
Dorota, Justyna, Stronisława, Wawrzyniec | Doroty, Justyny, Stronisławy, Wawrzyńca
Albin, Beata, Eugenia, Eugeniusz, Michał Uniewit | Albina, Beaty, Eugenii, Eugeniusza, Michała, Uniewita
Domasława, Domisława, Marek, Regina, Rena, Ryszard | Domasławy, Domisławy, Marka, Reginy, Reny, Ryszarda
Adrian, Adrianna, Maria, Radosław, Radosława, Klementyna | Adriana, Adrianny, Marii, Radosławy, Klementyny
Augustyna, Aureliusz, Piotr Ścibor Ścibora, Sergiusz, Sobiesąd | Augustyny, Aureliusza, Piotra Ścibory, Sergiusza, Sobiesąda
Aldona Łukasz, Mikołaj, Mścibor | Aldony Łukasza, Mikołaja, Mścibora
Feliks, Jacek, Jan, Naczesław | Feliksa, Jacka, Jana, Naczesława
Amadeusz, Maria, Piotr, Sylwin | Amadeusza, Marii, Piotra, Sylwina
Aleksander, Eugenia, Filip, Lubor, Morzysław, Szeliga | Aleksandra, Eugenii, Filipa, Lubora, Morzysława, Szeligi
Bernard, Cyprian, Roksana, Siemomysł Szymon | Bernarda, Cypriana, Roksany, Siemomysła, Szymona
Maria, Nikodem | Marii, Nikodema
Cyprian, Edyta, Eugenia, Franciszek, Kamila, Kornel, Lucja, Wiktor | Cypriana, Edytu, Eugenii, Franciszka, Kamili, Kornela Łucja, Lucji Łucji, Wiktora
Drogosław, Franciszek, Justyn, Justyna, Teodora | Drogosława, Franciszka, Justyny, Teodory
Dobrowit, Irena, Józef, Stefania | Dobrowita, Ireny, Józefa, Stefanii
Konstancja, Teodor, Więcemir | Konstancji, Teodora, Więcemira
Agnieszka, Barbara, Dionizy, Eustachiusz, Eustachy, Fausta, Faustyna, Filipina, Irena, Klemens, Mieczysława, Miłowuj, Oleg, Perpetua, Protazy | Agnieszki, Barbary, Dionizego, Eustachiusza, Eustachego, Fausty, Faustyny, Filipiny, Ireny, Klemensa, Mieczysławy, Miłowuja, Olega, Perpetui, Protazego
Bożeciech, Bożydar, Jonasz, Laurenty, Mateusz, Mira | Bożeciecha, Bożydara, Jonasza, Laurentego, Mateusza, Miry
Joachim, Maurycy, Prosimir, Scott, Tomasz | Joachima, Maurycego, Prosimira, Scotta, Tomasza
Boguchwała, Bogusław, Elżbieta, Krzysztof, Libert, Litoriusz, Liwiusz, Piotr, Tekla, Zachariusz | Boguchwały, Bogusława, Elżbiety, Krzysztofa, Liberta, Litoriusza, Liwiusza, Piotra, Tekli, Zachariusza
Gerard, Maria, Teodor, Tomir, Uniegost | Gerarda, Marii, Teodora, Tomira, Uniegosta
Aurelia, Franciszek, Kamil Ładysław, Piotr Świętopełk, Wincenty, Władysław, Władysława | Aurelii, Franciszka, Kamila Ładysława, Piotra Świętopełka, Wincentego, Władysławy
Cyprian, Euzebiusz, Justyna Łękomir | Cypriana, Euzebiusza, Justyny Łękomira
Amadeusz, Damian | Amadeusza, Damiana
Jan, Luba, Lubosza, Marek, Nikita, Sylwin, Wacław, Wacława, Więcesław | Jana, Luby, Luboszy, Marka, Nikity, Sylwina, Wacławy, Więcesława
Michał Rafał Gabriel | Michała, Rafała, Gabriela
Grzegorz, Hieronim, Honoriusz, Imisław, Rachela, Wera, Wiera, Wiktor, Zofia | Grzegorza, Hieronima, Honoriusza, Imisława, Racheli, Wery, Wiery, Wiktora, Zofii
